time,activity
2017/07/02 09:49:38,anticlockwise
2017/07/02 09:49:41,R-turn
2017/07/02 09:49:42,clockwise
2017/07/02 09:49:48,R-turn
2017/07/02 09:49:49,anticlockwise
2017/07/02 10:02:16,R-turn
2017/07/02 10:02:19,clockwise
2017/07/02 10:02:25,R-turn
2017/07/02 10:02:27,anticlockwise
2017/07/02 10:02:43,R-turn
2017/07/02 10:02:46,clockwise
2017/07/02 10:09:44,R-turn
2017/07/02 10:09:46,anticlockwise
2017/07/02 10:11:52,R-turn
2017/07/02 10:11:54,clockwise
2017/07/02 10:31:52,R-turn
2017/07/02 10:31:55,anticlockwise
2017/07/02 10:34:22,L-turn
2017/07/02 10:34:24,R-turn
2017/07/02 10:34:26,anticlockwise
