time,activity,comments
2017/06/15 16:18:46,clockwise,
2017/06/15 16:18:47,R-turn,
2017/06/15 16:18:49,anticlockwise,
2017/06/15 16:19:04,L-turn,
2017/06/15 16:19:06,clockwise,
2017/06/15 16:19:50,R-turn,
2017/06/15 16:19:53,anticlockwise,
2017/06/15 16:20:18,R-turn,
2017/06/15 16:20:21,clockwise,
2017/06/15 16:32:40,L-turn,
2017/06/15 16:32:42,anticlockwise,
2017/06/15 16:33:17,L-turn,
2017/06/15 16:33:19,clockwise,
2017/06/15 16:35:12,R-turn,
2017/06/15 16:35:15,anticlockwise,
2017/06/15 16:36:06,clockwise,"Got here using an unclean wall-bump left turn, so I don’t count it"
2017/06/15 16:37:48,R-turn,
2017/06/15 16:37:50,anticlockwise,
2017/06/15 16:37:58,L-turn,
2017/06/15 16:38:01,clockwise,
2017/06/15 16:38:06,R-turn,
2017/06/15 16:38:08,anticlockwise,
2017/06/15 16:38:11,L-turn,
2017/06/15 16:38:14,clockwise,
2017/06/15 16:38:18,anticlockwise,Another bump along the outside wall
2017/06/15 16:38:25,L-turn,
2017/06/15 16:38:27,clockwise,
2017/06/15 16:39:03,R-turn,
2017/06/15 16:39:06,anticlockwise,
2017/06/15 16:39:13,L-turn,
2017/06/15 16:39:15,clockwise,
2017/06/15 16:47:08,R-turn,
2017/06/15 16:47:11,anticlockwise,
2017/06/15 16:47:18,L-turn,
2017/06/15 16:47:20,clockwise,
2017/06/15 16:49:52,R-turn,
2017/06/15 16:49:54,anticlockwise,
2017/06/15 16:50:37,L-turn,
2017/06/15 16:50:39,clockwise,
